ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Duration_sec,Year,Month,Hour,DayOfWeek
A-6717597,Source1,2,2020-09-27 12:07:27,2020-09-27 14:25:28,46.923583,-114.067944,0.064,Incident on AIRWAY BLVD near MT-200 Drive with caution.,Airway Blvd,Missoula,Missoula,MT,59808,US,US/Mountain,KMSO,2020-09-27 11:53:00,55.0,62.0,27.05,10.0,CALM,0.0,Fair,False,False,False,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day,8281.0,2020,9,12,Sunday
A-384473,Source2,2,2017-04-02 09:34:18,2017-04-02 10:18:08,39.381805,-77.40972099999998,0.01,Accident on MD-85 Buckeystown Pike at I-270.,Buckeystown Pike,Frederick,Frederick,MD,21704,US,US/Eastern,KFDK,2017-04-02 09:48:00,51.8,58.0,30.27,10.0,Calm,7.685489595665097,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2630.0,2017,4,9,Sunday
A-342571,Source2,2,2017-03-30 17:57:54,2017-03-30 18:27:35,38.520966,-121.455383,0.0,Right hand shoulder blocked due to accident on 44th St at 35th Ave.,44th St,Sacramento,Sacramento,CA,95824-1434,US,US/Pacific,KSAC,2017-03-30 17:53:00,64.9,27.0,29.98,10.0,NW,19.6,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,1781.0,2017,3,17,Thursday
A-2832811,Source2,3,2018-05-18 10:30:21,2018-05-18 10:59:58,33.716503,-85.02712199999998,8.220000267028809,Accident on I-20 Westbound between Exit 24 GA-61 Carrollton Villa Rica Hwy and Exit 19 GA-113 Carrollton St.,Carrollton St,Temple,Carroll,GA,30179,US,US/Eastern,KCTJ,2018-05-18 10:35:00,69.6,87.0,29.98,10.0,SE,6.9,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,1777.0,2018,5,10,Friday
A-7501043,Source1,2,2018-11-12 15:15:26,2018-11-12 15:44:50,34.155559999999994,-118.43462,0.345,At Woodman Ave - Accident. in the left lane.,US-101 S,Sherman Oaks,Los Angeles,CA,91423,US,US/Pacific,KBUR,2018-11-12 14:53:00,73.9,9.0,30.17,10.0,South,10.4,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,1764.0,2018,11,15,Monday
A-1006476,Source2,3,2021-06-14 16:42:48,2021-06-14 17:12:19,33.814129,-118.174934,0.0,Lane blocked due to accident on I-405 Southbound after Orange Ave.,I-405 S,Signal Hill,Los Angeles,CA,90755,US,US/Pacific,KLGB,2021-06-14 16:53:00,81.0,38.0,29.8,10.0,W,13.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,1771.0,2021,6,16,Monday
A-2149632,Source2,2,2019-04-05 14:56:57,2019-04-05 15:43:25,40.436604,-79.997505,0.0,One lane blocked due to accident on 2nd Ave Eastbound at B St.,2nd Ave,Pittsburgh,Allegheny,PA,15219,US,US/Eastern,KAGC,2019-04-05 14:53:00,52.0,71.0,28.78,10.0,SSE,13.0,Cloudy,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2788.0,2019,4,14,Friday
A-1412041,Source2,2,2020-08-05 06:09:53,2020-08-05 06:55:50,39.297359,-76.622658,0.0,Accident on Druid Hill Ave at Paca St.,N Paca St,Baltimore,Baltimore City,MD,21201-1920,US,US/Eastern,KDMH,,61.66328580940999,64.83104146672403,29.53898560765659,9.09037644796337,CALM,7.685489595665097,Fair,False,False,True,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,2757.0,2020,8,6,Wednesday
A-6715576,Source1,2,2020-11-07 13:26:00,2020-11-07 18:26:59,33.515307,-114.568674,0.267,Peter McIntyre Park. SUBJ IS SPANISH SPEAKING BUT THEIR OFFICER THATS 1097 SPEAKS SPANISH AND WILL 1023 TO INTERPET IF NEEDED, S Intake Blvd,Blythe,Riverside,CA,92225-9511,US,US/Pacific,KBLH,2020-11-07 13:52:00,69.0,27.0,29.23,2.0,WSW,35.0,Haze / Windy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,18059.0,2020,11,13,Saturday
A-3911569,Source1,2,2022-05-12 20:35:58,2022-05-12 22:08:20,40.540975,-74.308617,0.216,Incident on NEW JERSEY TPKE NB near GARDEN STATE PKWY Right lane blocked. Expect delays.,Garden State Pkwy S,Fords,Middlesex,NJ,08863,US,US/Eastern,KLDJ,2022-05-12 20:35:00,59.0,93.0,30.27,7.0,SSE,3.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,5542.0,2022,5,20,Thursday
A-7355731,Source1,2,2019-10-25 06:37:00,2019-10-25 10:10:35,35.88934099999999,-120.046561,0.0,At CA-269/Skyline Blvd - Accident., State Highway 33,Avenal,Kings,CA,93204,US,US/Pacific,KNLC,2019-10-25 06:56:00,47.0,59.0,29.85,10.0,CALM,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,12815.0,2019,10,6,Friday
A-1773927,Source3,2,2019-10-23 06:37:34,2019-10-23 07:52:18,38.241489,-122.269089,0.0,Accident on CA-12 Northbound at CA-221 Napa Vallejo Hwy.,Napa Vallejo Hwy,Napa,Napa,CA,94558,US,US/Pacific,KAPC,2019-10-23 06:54:00,47.0,86.0,29.98,10.0,CALM,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day,4484.0,2019,10,6,Wednesday
A-5901640,Source1,2,2021-12-04 22:23:29,2021-12-05 01:23:25,45.65768900000001,-94.177719,0.214,Incident on US-10 near 75TH ST Drive with caution., Highway 10 NW,Sauk Rapids,Benton,MN,56379-2602,US,US/Central,KSTC,2021-12-04 21:53:00,27.0,89.0,29.06,1.0,SE,7.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,10796.0,2021,12,22,Saturday
A-7520692,Source1,2,2018-10-17 12:56:29,2018-10-17 13:25:59,38.19225,-85.72944,0.26,Ramp to I-264/Watterson Expy/Exit 131 - Accident. Right lane blocked., Preston Hwy,Louisville,Jefferson,KY,40213-1653,US,US/Eastern,KSDF,2018-10-17 12:56:00,62.1,50.0,30.31,10.0,WNW,11.5,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,1770.0,2018,10,12,Wednesday
