column,dtype,non_null,nulls,null_pct
Airport_Code,object,7705759,22635,0.002928810306513876
Amenity,bool,7728394,0,0.0
Astronomical_Twilight,object,7705148,23246,0.0030078694228063423
Bump,bool,7728394,0,0.0
City,object,7728141,253,3.2736426222576127e-05
Civil_Twilight,object,7705148,23246,0.0030078694228063423
Country,object,7728394,0,0.0
County,object,7728394,0,0.0
Crossing,bool,7728394,0,0.0
Description,object,7728389,5,6.469649451102002e-07
Distance(mi),float64,7728394,0,0.0
End_Lat,float64,4325632,3402762,0.44029354611061494
End_Lng,float64,4325632,3402762,0.44029354611061494
End_Time,object,7728394,0,0.0
Give_Way,bool,7728394,0,0.0
Humidity(%),float64,7554250,174144,0.02253301268025414
ID,object,7728394,0,0.0
Junction,bool,7728394,0,0.0
Nautical_Twilight,object,7705148,23246,0.0030078694228063423
No_Exit,bool,7728394,0,0.0
Precipitation(in),float64,5524808,2203586,0.2851285791071211
Pressure(in),float64,7587715,140679,0.01820287630263157
Railway,bool,7728394,0,0.0
Roundabout,bool,7728394,0,0.0
Severity,int64,7728394,0,0.0
Source,object,7728394,0,0.0
Start_Lat,float64,7728394,0,0.0
Start_Lng,float64,7728394,0,0.0
Start_Time,object,7728394,0,0.0
State,object,7728394,0,0.0
Station,bool,7728394,0,0.0
Stop,bool,7728394,0,0.0
Street,object,7717525,10869,0.0014063723976805531
Sunrise_Sunset,object,7705148,23246,0.0030078694228063423
Temperature(F),float64,7564541,163853,0.021201429430228326
Timezone,object,7720586,7808,0.0010103004582840884
Traffic_Calming,bool,7728394,0,0.0
Traffic_Signal,bool,7728394,0,0.0
Turning_Loop,bool,7728394,0,0.0
Visibility(mi),float64,7551296,177098,0.022915239569825243
Weather_Condition,object,7554935,173459,0.02244437848277404
Weather_Timestamp,object,7608166,120228,0.015556660284141828
Wind_Chill(F),float64,5729375,1999019,0.25865904352184943
Wind_Direction,object,7553188,175206,0.022670428034595545
Wind_Speed(mph),float64,7157161,571233,0.07391354529802699
Zipcode,object,7726479,1915,0.00024778757397720666
