,0
End_Lng,0.44029354611061494
End_Lat,0.44029354611061494
Precipitation(in),0.2851285791071211
Wind_Chill(F),0.25865904352184943
Start_Time,0.0961604700795534
End_Time,0.0961604700795534
Wind_Speed(mph),0.07391354529802699
Visibility(mi),0.022915239569825243
Wind_Direction,0.022670428034595545
Humidity(%),0.02253301268025414
Weather_Condition,0.02244437848277404
Temperature(F),0.021201429430228326
Pressure(in),0.01820287630263157
Weather_Timestamp,0.015556660284141828
Sunrise_Sunset,0.0030078694228063423
Civil_Twilight,0.0030078694228063423
Nautical_Twilight,0.0030078694228063423
Astronomical_Twilight,0.0030078694228063423
Airport_Code,0.002928810306513876
Street,0.0014063723976805531
Timezone,0.0010103004582840884
Zipcode,0.00024778757397720666
City,3.2736426222576127e-05
Description,6.469649451102002e-07
Railway,0.0
Severity,0.0
Start_Lat,0.0
Start_Lng,0.0
Turning_Loop,0.0
Traffic_Signal,0.0
Traffic_Calming,0.0
Stop,0.0
Station,0.0
Roundabout,0.0
Give_Way,0.0
No_Exit,0.0
Junction,0.0
Crossing,0.0
Bump,0.0
Amenity,0.0
Distance(mi),0.0
County,0.0
Source,0.0
State,0.0
Country,0.0
ID,0.0
