year_month,count
2016-01,7
2016-02,985
2016-03,6330
2016-04,18088
2016-05,17610
2016-06,30538
2016-07,45780
2016-08,56457
2016-09,54698
2016-10,55669
2016-11,65040
2016-12,59619
2017-01,55713
2017-02,51679
2017-03,57315
2017-04,48115
2017-05,41136
2017-06,46272
2017-07,42459
2017-08,80955
2017-09,76902
2017-10,74975
2017-11,70127
2017-12,71642
2018-01,75093
2018-02,71535
2018-03,74484
2018-04,72657
2018-05,76529
2018-06,67831
2018-07,65802
2018-08,76436
2018-09,73354
2018-10,87270
2018-11,82156
2018-12,70279
2019-01,79368
2019-02,74631
2019-03,69437
2019-04,73020
2019-05,73898
2019-06,65525
2019-07,68257
2019-08,75269
2019-09,87699
2019-10,106914
2019-11,81920
2019-12,98364
2020-01,92037
2020-02,85848
2020-03,86054
2020-04,87845
2020-05,87700
2020-06,100470
2020-07,35227
2020-08,37297
2020-09,82912
2020-10,127266
2020-11,166574
2020-12,172368
2021-01,139848
2021-02,141624
2021-03,83121
2021-04,82962
2021-05,92959
2021-06,118555
2021-07,102010
2021-08,108795
2021-09,121633
2021-10,120728
2021-11,141409
2021-12,158789
2022-01,101801
2022-02,121876
2022-03,104312
2022-04,143523
2022-05,115782
2022-06,95559
2022-07,103728
2022-08,111997
2022-09,96617
2022-10,57503
2022-11,88386
2022-12,127722
2023-01,108815
2023-02,37428
2023-03,20309
