,count,mean,std,min,q1,median,q3,max,skew
Severity,7728394.0,2.212384487643875,0.48753133393603604,1.0,2.0,2.0,2.0,4.0,1.8147236627114687
Start_Lat,7728394.0,36.201194763183594,5.043542861938477,24.554800033569336,33.39963150024414,35.823974609375,40.084957122802734,49.002201080322266,-0.07222083956003189
Start_Lng,7728394.0,-94.70255279541016,17.28298568725586,-124.62383270263672,-117.21939659118652,-87.76661682128906,-80.35367584228516,-67.11316680908203,-0.48291832208633423
End_Lat,4325632.0,36.2618293762207,5.275655746459961,24.56601333618164,33.46207046508789,36.183494567871094,40.17892074584961,49.07500076293945,-0.15821747481822968
End_Lng,4325632.0,-95.72557067871094,18.111080169677734,-124.54574584960938,-117.75434303283691,-88.02789306640625,-80.24708366394043,-67.10924530029297,-0.3654920160770416
Distance(mi),7728394.0,0.5618422627449036,1.7548778057098389,0.0,0.0,0.029999999329447746,0.46399998664855957,441.75,20.38575553894043
Temperature(F),7564541.0,61.66328811645508,18.934202194213867,-89.0,49.0,64.0,76.0,207.0,-0.5137332677841187
Wind_Chill(F),5729375.0,58.25104522705078,22.284704208374023,-89.0,43.0,62.0,75.0,207.0,-0.6727851629257202
Humidity(%),7554250.0,64.83103942871094,22.757160186767578,1.0,48.0,67.0,84.0,100.0,-0.3948420286178589
Pressure(in),7587715.0,29.538986206054688,1.8249680995941162,0.0,29.3700008392334,29.860000610351562,30.030000686645508,58.630001068115234,-3.638773202896118
Visibility(mi),7551296.0,9.090376853942871,2.8340516090393066,0.0,10.0,10.0,10.0,140.0,2.3166613578796387
Wind_Speed(mph),7157161.0,7.685489654541016,5.357769966125488,0.0,4.599999904632568,7.0,10.399999618530273,1087.0,8.049474716186523
Precipitation(in),5524808.0,0.008407209999859333,0.10987945646047592,0.0,0.0,0.0,0.0,36.470001220703125,85.99913024902344
Duration_sec,6985228.0,25612.590491248102,794627.8301289894,73.0,1800.0,3763.0,7358.0,168776340.0,52.90088645676503
