,Severity,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in),Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Duration_sec
Severity,1.0,0.05925032697835211,0.03251332891612664,0.08921272757042059,0.07441866842760989,-0.13748583562231115,-0.011003131866253122,-0.06224805813374433,0.016886332617516406,0.09016383985379899,-0.011202662694429835,0.04906991451919794,0.07884707927794801,-0.03687600077439946,-0.005267737683850022,-0.11682161660535202,-0.006126169369037539,0.052592518790352434,-0.011108923359503626,-0.011153995895311623,-0.0019472507293408622,-0.04930295069336008,-0.05461935583700633,-0.005569190905682992,-0.11273766660414895,,-0.17655236527575416
Start_Lat,0.05925032697835211,1.0,0.05594869016136884,0.9999758432885474,0.005642189641400534,0.06379003331483797,-0.427762305123454,-0.46737132353612637,0.03080412271175326,-0.1914282288101618,-0.0914757043528031,0.035085505536691985,0.06758418886154706,0.02016688821457236,-0.002884587079860575,-0.0633253828464386,0.0035452723588226234,0.04702084644526949,-0.0035586933393970243,-9.846768995355843e-06,-0.0010898915048801739,-0.044182052479854406,-0.004403644769123417,-0.0038767660746229235,-0.06136543676010484,,0.013925922786351009
Start_Lng,0.03251332891612664,0.05594869016136884,1.0,0.005627092634809478,0.9999862380356982,0.04009290903216967,0.011890646286899734,0.0016814509847720065,0.1219237978402641,0.14091768431373455,0.020021840864643804,0.06683796090225141,0.04608743401117256,0.009428226521700864,-0.011475427071726172,0.043964759772438536,0.025835439925245663,-0.02125703757914681,0.007430049950431082,-0.017764489112111398,-0.0001377143423132605,0.005157932476796479,-0.025737932931842334,-0.000512962053201168,0.048674698054015364,,-0.014141752179566924
End_Lat,0.08921272757042059,0.9999758432885474,0.005627092634809478,1.0,0.005642044509480894,0.09001931087652523,-0.45128976009263494,-0.47147703395055673,0.042948046522074096,-0.26377218262283925,-0.11968760733859099,0.020149116373240416,0.07310642657854594,-0.0031368381947989355,-0.006876176577269157,-0.10996637878529551,0.014432809631996293,0.039344323133474975,-0.011210123236444183,0.001605036764345223,-0.0025244516056767397,-0.09751004830837903,-0.014212061195033312,-0.01021749253667851,-0.042700121907952755,,0.015707577251560703
End_Lng,0.07441866842760989,0.005642189641400534,0.9999862380356982,0.005642044509480894,1.0,0.09480036990465426,0.04723985248580861,0.04110035627366317,0.10168749828544758,0.1564478531203121,0.04372357307784847,0.08524613627935666,0.03424441294765192,0.01902950962069469,-0.011693281414063148,0.05737436532725867,0.029994994430569966,-0.006560596996562002,0.014275433942957369,-0.014078495826243945,-0.00013866676292050148,0.022349239538888278,-0.022042366425549537,-0.000622761178545029,0.049952306514463155,,-0.01382445393539873
Distance(mi),-0.13748583562231115,0.06379003331483797,0.04009290903216967,0.09001931087652523,0.09480036990465426,1.0,-0.05794562212073935,-0.010105963998077507,-0.018672331481658363,-0.12508038306898742,-0.008573035337313547,-0.004647134972836491,-0.03303674571932507,-0.03946889657139094,-0.001912568499432262,-0.15422753895362937,-0.025681622824671242,0.09145991970046652,-0.010699211200931109,-0.02660287985853633,-0.002169148805675158,-0.04368740504262303,-0.04953378522281488,-0.006144265567792977,-0.2437673008952106,,0.4034760882348196
Temperature(F),-0.011003131866253122,-0.427762305123454,0.011890646286899734,-0.45128976009263494,0.04723985248580861,-0.05794562212073935,1.0,0.9987706110548866,-0.3305538976618758,-0.003629229347806442,0.22394021042654416,0.08764231293177041,-0.1241673024090233,0.0031903533535652074,0.0024343121240499085,0.059138389646526845,0.0004733943091019303,-0.02384010738431648,0.007133816433338813,0.002325367583750701,1.6337790804243574e-05,0.03465751886633655,0.005187910726185641,0.0042319882379708565,0.04657155279113316,,-0.0236811884377575
Wind_Chill(F),-0.06224805813374433,-0.46737132353612637,0.0016814509847720065,-0.47147703395055673,0.04110035627366317,-0.010105963998077507,0.9987706110548866,1.0,-0.3241947233500057,-0.016986401901991976,0.23572417809805682,0.04220948570887902,-0.13900347044597522,0.0036701403631113115,0.004060908923114574,0.05878964127423003,-0.003345816893342983,-0.03261489307186975,0.008488744754773863,0.0034366881822299965,0.00023341828652931914,0.04277974025764617,0.008234480894314068,0.005869985346036166,0.0248036760691338,,0.01708030834945689
Humidity(%),0.016886332617516406,0.03080412271175326,0.1219237978402641,0.042948046522074096,0.10168749828544758,-0.018672331481658363,-0.3305538976618758,-0.3241947233500057,1.0,0.057485976620940876,-0.4653687764900287,-0.1984295860662941,0.37120486973428296,-0.009022266550415915,-0.005337385383831214,-0.028369207180059072,0.0013231001797655414,-0.0008487739278743241,-0.008223601034561202,-0.0021638543510683916,0.0010652973115419114,-0.009542127053982297,-0.01545611383956301,-0.0033838627345834306,-0.014662989348701718,,-0.021344401149539543
Pressure(in),0.09016383985379899,-0.1914282288101618,0.14091768431373455,-0.26377218262283925,0.1564478531203121,-0.12508038306898742,-0.003629229347806442,-0.016986401901991976,0.057485976620940876,1.0,0.06728205831225893,-0.0001368560251524285,0.007174636827300728,0.02486115246206829,-0.0007772477141825731,0.05286328982661878,0.007795050293028546,0.026762862559114413,-0.001657755304018114,0.017204398502778356,0.0018289458346478615,0.047023599253936205,-0.0005582361234171215,0.00740332957490551,0.05311470633596147,,-0.13935190711500386
